,num,mae,rmse,mape,r2,var
0,0,0,0,0,0,0
0,0,22.544790015943533,34.41670208781679,16.303171929831066,0.952235784802402,0.9523392768274034
0,1,22.461045946941486,34.412551777757656,16.113037587382536,0.9522605863609447,0.9523519048112364
0,2,22.486728581674708,34.38792507885379,16.159143839843395,0.9523457966410098,0.9525466025268652
0,3,22.538687504630857,34.42179092964814,16.373401454027565,0.9522222907409671,0.9524286176631084
0,4,22.43928017099948,34.29583886436811,16.345115627511007,0.9525595902712133,0.9526029069771188
